make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system,peak-rpm
alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,5000
alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,5000
alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,5000
audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5500
audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi,5500
audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi,5500
audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi,5500
audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi,5500
audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi,5500
audi,gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi,5500
bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi,5800
bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi,5800
bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,4250
bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,4250
bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,4250
bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,5400
bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,5400
bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,5400
chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl,5100
chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5400
chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5400
dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5500
dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5500
dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi,5500
dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,5500
dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5500
dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5500
dodge,gas,turbo,?,sedan,fwd,front,ohc,four,mpfi,5500
dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl,5000
dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi,5000
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,4800
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6000
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,5500
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6000
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6000
honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,6000
honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl,6000
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,5800
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,5800
honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,5800
honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,5800
honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5800
honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl,5500
isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl,4800
isuzu,gas,std,two,sedan,fwd,front,ohc,four,2bbl,5400
isuzu,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5400
isuzu,gas,std,two,hatchback,rwd,front,ohc,four,spfi,5000
jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,4750
jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,4750
jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi,5000
mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5000
mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5000
mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5000
mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5000
mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5000
mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,6000
mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,6000
mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,6000
mazda,gas,std,two,hatchback,rwd,front,rotor,two,mpfi,6000
mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,4800
mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,4800
mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,4800
mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,4800
mazda,diesel,std,?,sedan,fwd,front,ohc,four,idi,4650
mazda,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,4800
mazda,gas,std,four,sedan,rwd,front,ohc,four,mpfi,5000
mazda,diesel,std,four,sedan,rwd,front,ohc,four,idi,4200
mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,4350
mercedes-benz,diesel,turbo,four,wagon,rwd,front,ohc,five,idi,4350
mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi,4350
mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,4350
mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,4750
mercedes-benz,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi,4750
mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,4500
mercedes-benz,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi,4500
mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi,5000
mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5500
mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5500
mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5500
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,5500
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,5500
mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5000
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,5000
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,5000
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,5000
mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5000
mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5000
mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,spdi,5500
mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,spdi,5500
nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,5200
nissan,diesel,std,two,sedan,fwd,front,ohc,four,idi,4800
nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,two,hardtop,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5200
nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,5200
nissan,gas,std,four,wagon,fwd,front,ohcv,six,mpfi,5200
nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,5200
nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,5200
nissan,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi,5200
nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,5200
peugot,gas,std,four,sedan,rwd,front,l,four,mpfi,5000
peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi,4150
peugot,gas,std,four,wagon,rwd,front,l,four,mpfi,5000
peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi,4150
peugot,gas,std,four,sedan,rwd,front,l,four,mpfi,5000
peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi,4150
peugot,gas,std,four,wagon,rwd,front,l,four,mpfi,5000
peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi,4150
peugot,gas,std,four,sedan,rwd,front,l,four,mpfi,5000
peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi,4150
peugot,gas,turbo,four,sedan,rwd,front,l,four,mpfi,5600
plymouth,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5500
plymouth,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,5500
plymouth,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,5500
plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5500
plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,5500
plymouth,gas,std,four,wagon,fwd,front,ohc,four,2bbl,5000
plymouth,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi,5000
porsche,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,5500
porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,5900
porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,5900
porsche,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi,5900
porsche,gas,std,two,hatchback,rwd,front,dohcv,eight,mpfi,5750
renault,gas,std,four,wagon,fwd,front,ohc,four,mpfi,5000
renault,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,5000
saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,5250
saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5250
saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,5250
saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5250
saab,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi,5500
saab,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi,5500
subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,4900
subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,4400
subaru,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl,4400
subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,4800
subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,4400
subaru,gas,std,four,sedan,fwd,front,ohcf,four,mpfi,5200
subaru,gas,std,four,sedan,4wd,front,ohcf,four,2bbl,4800
subaru,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi,4800
subaru,gas,std,four,wagon,fwd,front,ohcf,four,2bbl,4800
subaru,gas,std,four,wagon,fwd,front,ohcf,four,mpfi,5200
subaru,gas,std,four,wagon,4wd,front,ohcf,four,2bbl,4800
subaru,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi,4800
toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,4800
toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,4800
toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,4800
toyota,gas,std,four,wagon,fwd,front,ohc,four,2bbl,4800
toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl,4800
toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl,4800
toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,4800
toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,4800
toyota,diesel,std,four,sedan,fwd,front,ohc,four,idi,4500
toyota,diesel,std,four,hatchback,fwd,front,ohc,four,idi,4500
toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,4800
toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,4800
toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,4800
toyota,gas,std,two,sedan,rwd,front,ohc,four,2bbl,4800
toyota,gas,std,two,hatchback,rwd,front,ohc,four,2bbl,4800
toyota,gas,std,two,sedan,rwd,front,dohc,four,mpfi,6600
toyota,gas,std,two,hatchback,rwd,front,dohc,four,mpfi,6600
toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,4800
toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,4800
toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,4800
toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,4800
toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,4800
toyota,gas,std,two,convertible,rwd,front,ohc,four,mpfi,4800
toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi,4200
toyota,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,4500
toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,4200
toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi,4200
toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,4200
toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,5200
toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,5200
toyota,gas,std,four,sedan,rwd,front,dohc,six,mpfi,5200
toyota,gas,std,four,wagon,rwd,front,dohc,six,mpfi,5200
volkswagen,diesel,std,two,sedan,fwd,front,ohc,four,idi,4800
volkswagen,gas,std,two,sedan,fwd,front,ohc,four,mpfi,5250
volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,idi,4800
volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5250
volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5250
volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,4500
volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5500
volkswagen,gas,std,two,convertible,fwd,front,ohc,four,mpfi,5500
volkswagen,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,5500
volkswagen,gas,std,four,sedan,fwd,front,ohc,five,mpfi,5500
volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,4500
volkswagen,gas,std,four,wagon,fwd,front,ohc,four,mpfi,5500
volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,5400
volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,5400
volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,5400
volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,5400
volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,5100
volvo,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi,5100
volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,5400
volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,5300
volvo,gas,std,four,sedan,rwd,front,ohcv,six,mpfi,5500
volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,idi,4800
volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,5400
